1 [5, 8] 31.785000000000004 54 171250 14174
2 [5, 8] -169.25500000000005 169 177990 14407
3 [5, 8] 50.00000000000001 51 182102 14561
4 [5, 8] 20.35000000000001 60 182937 14587
5 [5, 8] -45.68499999999999 138 184520 14632
6 [2, 8] 49.865 48 185445 14662
7 [5, 8] 17.895000000000003 101 185591 14665
8 [5, 8] 61.24500000000001 55 187789 14725
9 [5, 8] 73.16000000000001 52 189118 14759
10 [5, 8] 14.985000000000007 51 189627 14778
11 [5, 8] 49.915 45 190349 14812
12 [5, 8] 1.7799999999999851 84 190447 14814
13 [4, 8] 46.595000000000006 64 190966 14835
14 [4, 8] -42.089999999999996 78 192355 14892
15 [5, 8] 21.97 77 192785 14902
16 [3, 8] -3.8450000000000113 87 193405 14918
17 [5, 8] 13.000000000000004 54 194392 14943
18 [5, 8] 67.10000000000001 49 194449 14945
19 [5, 8] -25.89999999999999 112 195177 14969
20 [3, 8] 40.089999999999996 53 195668 14988
21 [5, 8] -114.00000000000007 165 196489 15016
22 [3, 8] -4.549999999999999 100 196986 15034
23 [3, 8] 72.42000000000002 56 197662 15052
24 [5, 8] 31.649999999999988 69 198007 15055
25 [0, 7] -6.225000000000001 48 198187 15060
26 [3, 8] 41.55999999999999 73 198385 15066
27 [4, 8] -109.5800000000001 168 199057 15079
28 [4, 8] 21.910000000000007 50 199724 15095
29 [3, 8] 55.910000000000004 46 199806 15099
30 [3, 8] 19.675000000000004 47 199879 15102
31 [4, 8] 56.52000000000001 46 200393 15123
32 [0, 7] 21.074999999999996 57 200505 15128
33 [5, 8] 77.11999999999999 48 200553 15129
34 [2, 8] -16.50000000000001 69 200995 15141
35 [4, 8] 5.840000000000004 73 201401 15159
36 [3, 8] 46.66500000000001 67 201743 15178
37 [2, 8] 60.01500000000001 52 202076 15188
38 [4, 8] 42.285000000000004 88 202444 15197
39 [4, 8] 21.165 88 203597 15224
40 [0, 6] -48.35 101 204643 15243
41 [0, 7] -71.52000000000002 111 206068 15275
42 [5, 8] 51.76999999999999 64 206132 15276
43 [3, 8] 68.97000000000001 47 206808 15299
44 [3, 8] 6.15000000000001 56 207212 15311
45 [3, 8] 24.800000000000008 51 207463 15316
46 [3, 8] 52.37500000000002 59 207826 15327
47 [4, 8] 59.584999999999994 62 207945 15330
48 [5, 8] 55.184999999999995 52 208372 15339
49 [4, 8] 12.385000000000005 101 208483 15342
50 [3, 8] 27.870000000000005 57 208745 15352
51 [5, 8] 79.11999999999999 48 208877 15356
52 [4, 8] 50.13499999999999 51 209331 15365
53 [4, 8] -90.18500000000007 173 209629 15371
54 [4, 8] 53.24000000000001 55 209783 15376
55 [3, 8] 15.230000000000011 81 209986 15381
56 [5, 8] 17.745000000000005 48 210408 15388
57 [4, 8] 69.185 51 211315 15406
58 [3, 8] 61.51000000000002 60 211375 15407
59 [5, 8] 70.70500000000001 66 212310 15425
60 [4, 8] 22.105000000000004 76 212386 15426
61 [5, 8] 67.28 53 212875 15436
62 [3, 8] 48.785000000000004 45 212920 15437
63 [3, 8] 37.82499999999999 54 213063 15443
64 [4, 8] 51.435 58 213729 15454
65 [4, 8] -17.98500000000001 77 214067 15460
66 [4, 8] -15.36000000000002 91 215123 15478
67 [4, 8] 56.12000000000001 52 215769 15495
68 [4, 8] 41.67 42 215968 15499
69 [4, 8] -33.66500000000001 116 216380 15503
70 [4, 8] 8.779999999999998 75 217147 15516
71 [4, 8] 21.239999999999995 58 217836 15537
72 [4, 8] 6.279999999999994 81 217972 15543
73 [4, 8] 39.84499999999999 47 218383 15552
74 [4, 8] 26.040000000000003 77 218929 15562
75 [4, 8] 35.69500000000001 67 219719 15578
76 [5, 8] 26.535000000000004 65 220807 15596
77 [3, 8] 30.98 74 221001 15600
78 [3, 8] 57.95500000000002 48 222609 15632
79 [4, 8] 48.755 43 222720 15635
80 [4, 8] 14.05 57 223753 15652
81 [4, 8] 45.575 64 226634 15712
82 [2, 8] 53.970000000000006 48 226766 15715
83 [4, 8] 19.010000000000005 76 229622 15781
84 [4, 8] 53.855000000000004 46 229678 15783
85 [3, 8] 55.795 48 230101 15790
86 [4, 8] 8.13 60 230965 15810
87 [4, 8] -110.91499999999995 168 232239 15832
88 [4, 8] 70.87 46 233699 15868
89 [4, 8] -55.52999999999997 106 233805 15869
90 [5, 8] 49.195 59 234065 15871
91 [5, 8] 40.470000000000006 62 234267 15877
92 [5, 8] 65.77000000000001 50 234474 15881
93 [5, 8] 42.28 56 235262 15900
94 [5, 8] 44.92999999999999 54 235404 15905
95 [5, 8] 61.85000000000001 45 235608 15914
96 [3, 8] 38.99 57 236112 15922
97 [5, 8] -18.255 120 236310 15926
98 [2, 8] 62.26000000000001 55 236422 15929
99 [3, 8] 79.985 48 237565 15955
